[2026-05-11T21:23:36.571Z] GET https://b.basemaps.cartocdn.com/light_all/15/16580/12239.png → 200 (254ms, 23021B)
[2026-05-11T21:23:36.571Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12237.png → 200 (259ms, 29094B)
[2026-05-11T21:23:36.571Z] GET https://a.basemaps.cartocdn.com/light_all/15/16582/12239.png → 200 (258ms, 32654B)
[2026-05-11T21:23:36.571Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12237.png → 200 (260ms, 30573B)
[2026-05-11T21:23:36.571Z] GET https://b.basemaps.cartocdn.com/light_all/15/16582/12237.png → 200 (260ms, 27790B)
[2026-05-11T21:23:36.571Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12240.png → 200 (260ms, 30872B)
[2026-05-11T21:23:36.571Z] GET https://c.basemaps.cartocdn.com/light_all/15/16579/12238.png → 200 (263ms, 22815B)
[2026-05-11T21:23:36.571Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12240.png → 200 (262ms, 29639B)
[2026-05-11T21:23:36.571Z] GET https://a.basemaps.cartocdn.com/light_all/15/16579/12239.png → 200 (263ms, 24268B)
[2026-05-11T21:23:36.571Z] GET https://b.basemaps.cartocdn.com/light_all/15/16582/12240.png → 200 (265ms, 15542B)
[2026-05-11T21:23:36.571Z] GET https://b.basemaps.cartocdn.com/light_all/15/16579/12237.png → 200 (263ms, 30389B)
[2026-05-11T21:23:36.571Z] GET https://b.basemaps.cartocdn.com/light_all/15/16579/12240.png → 200 (265ms, 28214B)
[2026-05-11T21:26:22.998Z] GET http://localhost:3002/barberias → 200 (301ms, 39919B)
[2026-05-11T21:26:23.315Z] GET http://localhost:3002/_next/static/css/d79bbaf8c9584c93.css → 200 (1ms, 92359B)
[2026-05-11T21:26:23.317Z] GET http://localhost:3002/_next/static/css/7dfd643b849ac952.css → 200 (4ms, 70024B)
[2026-05-11T21:26:23.321Z] GET http://localhost:3002/_next/static/css/028302dccfbd8f41.css → 200 (?ms, 1949B)
[2026-05-11T21:26:23.322Z] GET http://localhost:3002/_next/static/chunks/webpack-b6ecb7084653318f.js → 200 (?ms, 3811B)
[2026-05-11T21:26:23.322Z] GET http://localhost:3002/_next/static/chunks/fd9d1056-eeee1a01e369ed1b.js → 200 (?ms, 172835B)
[2026-05-11T21:26:23.322Z] GET http://localhost:3002/_next/static/chunks/2117-557b22e847b244c1.js → 200 (3ms, 123529B)
[2026-05-11T21:26:23.325Z] GET http://localhost:3002/_next/static/chunks/main-app-694e2d46c8f8c3f3.js → 200 (?ms, 464B)
[2026-05-11T21:26:23.325Z] GET http://localhost:3002/_next/static/chunks/2972-0251acc8e67dd84b.js → 200 (?ms, 26067B)
[2026-05-11T21:26:23.326Z] GET http://localhost:3002/_next/static/chunks/app/layout-988276403c54d810.js → 200 (?ms, 13578B)
[2026-05-11T21:26:23.326Z] GET http://localhost:3002/_next/static/chunks/6540-c122906528a1f672.js → 200 (?ms, 28942B)
[2026-05-11T21:26:23.327Z] GET http://localhost:3002/_next/static/chunks/app/barberias/page-3f81ef7b7c449b2f.js → 200 (?ms, 157B)
[2026-05-11T21:26:23.371Z] GET http://localhost:3002/_next/static/chunks/05f6971a.f41d7bcef493ee72.js → 200 (1ms, 1036032B)
[2026-05-11T21:26:23.422Z] GET blob:http://localhost:3002/99205e80-dde5-4c3e-81f3-ec478499e117 → 200 (188ms, 478168B)
[2026-05-11T21:26:23.444Z] GET http://localhost:3002/_vercel/insights/script.js → 404 (203ms, ?B)
[2026-05-11T21:26:23.501Z] GET http://localhost:3002/?_rsc=1kcrr → 200 (108ms, 184963B)
[2026-05-11T21:26:23.501Z] GET http://localhost:3002/login?_rsc=1kcrr → 200 (109ms, 5782B)
[2026-05-11T21:26:23.501Z] GET http://localhost:3002/barberias/barcelona?_rsc=1kcrr → 200 (143ms, 157B)
[2026-05-11T21:26:23.502Z] GET http://localhost:3002/r/demo-barber?_rsc=1kcrr → 200 (142ms, 134B)
[2026-05-11T21:26:23.573Z] GET https://c.basemaps.cartocdn.com/light_all/7/62/48.png → 200 (25ms, 19987B)
[2026-05-11T21:26:23.575Z] GET https://b.basemaps.cartocdn.com/light_all/7/62/47.png → 200 (23ms, 19694B)
[2026-05-11T21:26:23.575Z] GET https://a.basemaps.cartocdn.com/light_all/7/63/48.png → 200 (23ms, 20756B)
[2026-05-11T21:26:23.575Z] GET https://c.basemaps.cartocdn.com/light_all/7/63/47.png → 200 (23ms, 23133B)
